ツイートID,ツイート本文
1636212681668689920,"@smskn らむおさん、ありがとうございます！！
らむおさんに読んで頂けるとは感慨深いですね
これからも宜しくお願いします！"
1636212201097932800,"@qpgmr516 社畜度というパラメーターで調整できるようです！

https://t.co/KHtxvOIxOv"
1636205295902031872,@qpgmr516 それはもうRelaxTools addinさんがやっているので…！笑
1636204892430770176,"動画のように、目次をクリックすると表示が変わるシートを作る方法のブログ記事です！

『ウインドウ枠の固定』と『HYPERLINK関数』を使います！
https://t.co/Y7WWQJvyQC https://t.co/yr63B9badF"
1636195023078453248,@mine__0 いつもの！ありがとうございます！
1636188810219491329,"RT @Tsutsui0524: Amazon総合で500位内に入りました！！
文書作成カテゴリで1位を頂いています！

…ん？文書作成？Excelで…？ウッ！！ https://t.co/6kqWVHlV8y"
1636187526909284357,"Amazon総合で500位内に入りました！！
文書作成カテゴリで1位を頂いています！

…ん？文書作成？Excelで…？ウッ！！ https://t.co/6kqWVHlV8y"
1636185859421765632,@nitoukinnosuke コスチュームも可愛いかっこいい…！！
1636184991561568256,"RT @Kuroi_CPA: 「関数ちゃんと学ぶエクセル仕事術」ゲット！

経理の仕事で絶対使う関数たちを紹介してくれており、知らなかった便利な機能や関数もあり勉強にもなった！

また、ところどころにある小ネタが実務で共感するものが多い。特にSUMIFとSUMIFSのコラムは共…"
1636176888103321601,@umaumaBEER 色合いが綺麗でかわいいです！！
1636173987742117894,RT @excelspeedup: エクセルのすべての作業はSUMIFS関数を使うための下準備。
1636170361506250752,@libon0412 @matudakta みなみんさん、ありがとうございます！
1636169910857666560,@nixuko @matudakta @NreviewTorito 本屋さんで見るとIFERRORちゃんを全力で応援したくなります笑
1636155427758182400,RT @emeen231: 好き
1636152532618842114,@0612Xlookup3 @matudakta こないだスクーで拡張子xlsがボロクソ言われてて泣きそうになりました
1636152260588883969,@Excel_xlsx 元に戻すが無くなったって大騒ぎでしたからねえ…
1636152036692750337,"RT @ayuneo: この画像って未だに見かけるけど、作ったの私なんだよね。当時思いの外あちこちで貼られちゃっ反省してすぐ消したんだ。若気の至りだったなと…
私はこれしか作ってないけど第5話まで出てるって何？ https://t.co/hSMIX76Vjq"
1636151064482430976,@1RRhcSB6HSUu9hF @zeimu_nagoya 小林先生「チッ、また壊れたか…軟弱なマウスだ(新品のマウスを開封しながら)」
1636136709758025729,"RT @Excel_design_Dr: うおー！2冊目！😂

『人生を変える　Excelの神スキル』
💮4/28（金）発売！
Excelができるは神スキル！元Excel初心者だった私が書いた、人生を劇的に好転させるExcel本。Excelできる人は買わないで下さいね😅Amaz…"
1636132725731241984,"RT @matudakta: #関数ちゃん 本の強みは、著者自身がExcelを愛し、Excelに愛されてるという点だろう。

Excelを知らないイラストレーターに擬人化イラストをデザインさせても、おそらく萌え萌えした無難なキャラクターになるだけだ。

しかし筒井さんは心底Ex…"
1636131606279892992,@hikari9629 MATCH優秀ですよね〜！
1636131364365025282,"Ctrl + S
上書き保存

複数シート編集してしまった後で大惨事になることもありますけど、やっぱり保存は大事！！
#Excel https://t.co/LR2tlKbRkv"
1636129902528434176,@ksgiksg おお、よい出会い！！
1636031300388929536,"@nixuko にぅ…にぅさん、ありがとうございます！
筒井駅周辺、本屋ないんですね…なんだか興味出てきました笑"
1636028163385065472,"@ExcelVBANgmg masaさんありがとうございます！
この売り場は感動します！！"
1636027987840872448,@nixuko @matudakta カバー裏に期待されても何もありませんよ笑
1636026986106851331,"RT @ShiodaKayak: 一気に読めました。めっちゃいい本！
役に立たない情報が一切ないのすごい！
あと漫画・アニメネタが無尽蔵に出てきてずっと楽しいw
学習コスト全然感じないまま最後までいってしまいます。
定番関数しっかりなのも素敵。からの終盤の展開が最高！
エンドロ…"
1636026582275088385,@derAnfang2021 レイさん、布教活動ありがとうございます笑
1636025918908162048,"@ShiodaKayak しおださん、ありがとうございます！
ネタを仕込むために、ネタ勉強用の本を買いました
嬉しい…これはうれしいです！！"
1636025167016247296,@ShiodaKayak しおださんっ！！
1636013584122806274,@celaeno4 良いですね！！
1636012853969948672,@sugoi_kaizen そんなセリフを吐く悪者をケンシロウがエクセル百烈拳（関数などのテクニック）で倒すという構成です！！笑
1636012554941247489,"@hiro_izushi ひろさん、ありがとうございます！！
Excel愛、関数愛です！！"
1636012191613849600,"@zeimu_nagoya 私は職場と家で同じマウス使い回してるのですが、時々会社にレシーバー忘れて帰ることがあります
なるほど、レシーバーだけもう一つ用意すれば解決するんですね…！"
1636011593787142145,"資金繰り表Excelには、様々な思想とそれを実現する工夫があって興味深いですね！
毎月発生分は一括登録…ナルホド https://t.co/X6CySFoDu4"
1636010161251979267,@ksgiksg どこでその力を手に入れた？？
1636008792516354049,@UFOnian あと43分！
1635988152073748480,@KotorinChunChun 極めて自然な流れですね…自然だ…
1635986976129298434,"@maeK_School まえかわさん、ありがとうございます！
日付の3人娘は姉妹ではないことになっています！"
1635985845407846401,@matudakta 平積みでなくても、背表紙はIFERRORちゃんがバッチリ守っているという布陣です！！笑
1635985279432663041,"@Seth_Aug Sethさん、ありがとうございます！
楽しんでいただけて嬉しいです！！"
1635977343272615936,@keito_oz ああ…なるほど笑
1635975406686961664,"@kadukijob 華月さんありがとうございます！
布教…思想を広めてくださりありがとうございます！"
1635974285356564480,@NuclearFlower 私はユニクロでTシャツにしましたよ〜！
1635974103478968321,@matudakta 選抜するの楽しかったです！笑
1635973193361166338,@keito_oz これ、何だったんです？？
1635972271260196864,@usamiko MONTHとRIGHTなら…
1635972031702528000,@MasazaneKunohe 夢の印税生活や〜！
1635971638440386563,"@XNY1eyogmR8ki6h コピペさんありがとうございます！
置いて下さっている本屋さんで良かったです…！！"
1635971318842822657,"@pippi_vba ピッピさん、ありがとうございます！
ちっちゃいリフト可愛い…！！
超巨大な本に見えます笑"
1635971100952891392,"@maxima_hikky susukiさんありがとうございます！
トンカツのお供にぜひ！！"
1635970911173251073,"@usamiko うさみこさん、ありがとうございます！
期待値が高いような…！！"
1635967213940387841,"@akizyu1 北斗の拳は私は未履修でしたけど楽しめました笑
簡単にキャラの相関図くらいは知っておいた方が楽しめそうでした"
1635966906703417349,"@osatoexcel 届きましたか〜！
おさ先生のスピードandパワーには敵う気がしませんが、頑張ります！
ありがとうございます！"
1635965988054392833,"@Kuroi_CPA 白井先生、ありがとうございます！
タイトルは色々勉強して考えました！笑
元ネタが分からなくても、元々が名言なので良いこと言ってる風になるかなぁと…"
1635964810612338688,半分の時間で仕事が終わる人に「けしからん」と倍の仕事を振って、その人がいなくなる時にパンクする光景…何度見たことか
1635952123799302146,"関数ちゃんマンガ『アレ』

引数と言ってる人をリアルで見ると、おおっ…てなります
名前を覚えると、知識が増えた感じがします

漫画もぼちぼち増やしていきます！

#関数ちゃん 
#漫画が読めるハッシュタグ https://t.co/1W5ZxipV0S"
1635941993770778624,"@matsbox 流石の知見でございます…！！
一つ賢くなりました

Excelは日本語怪しいとこあるので翻訳ミスっているという可能性も…"
1635939982451044352,@saitoo_3 少なくとも怒るのは違いますかねえ
1635938619633586177,"@tequila_gyosho テキーラさんありがとうございます！
楽しんで頂けると幸いです！"
1635936847275884544,@teruhata 椅子に座っている方に怪しまれないようにして下さいね笑
1635928571754455040,"めちゃくちゃ面白かったです！

・紹介している関数が多い
・重複しない順位を作る数式を扱っている

ツボ：
「過労死兆星」
「キーボードを突く」
「電卓より優れた計算方法など存在しねえ！」

#広告 
世紀末救世主伝説 エクセル関数北斗百列拳 https://t.co/89q9i0aJG1"
1635920015110316032,定時で帰れるかどうかは、覚えたショートカットキーの数ではなく、職場環境でほぼ決まる https://t.co/BG0vInfF5a
1635911458713378820,"A「5万円くらいでおすすめのパソコン教えて欲しい」

B「このパソコンがいいよ」

A「ありがとう」

B「5万円ちょうだい」"
1635897799920459776,ゾロ目！ https://t.co/I3JaVQTi8T
1635896419470155776,"@chanryo_eff 電子書籍は後日発売される予定です！
ちゃんりょう先生、ありがとうございます！"
1635895007763927043,@wayou001 最寄りの本屋に無いのはちょっと寂しかったりします！
1635892247144312833,"@ymmox 山本ゆうか先生、ありがとうございます！！
ちょっと難しい内容のところですが、ROUND姉妹と一緒に読み進めて貰えたらと思います！！"
1635891823918063617,"@qua_pas_rec つるぴか⭐️ヒゲ丸さん、ありがとうございます！
関数の歌楽しみにしています！！"
1635868475016224768,"@wayou001 わようさん、ありがとうございます！
私の地元には1冊も…"
1635866066110025728,"@matsbox 祝日と祭日は、原稿書くときにブレまくって迷惑かけてました…
一応、Excelの入力補助では祭日表記ですね https://t.co/m8ejGY3pIC"
1635860040388337666,"RT @nyamadampersand: とある会社の資金繰り表はこんな感じで作っています。
実績はもちろん自動集計です。 https://t.co/3qvEWSc8Po"
1635858820307238916,@Spumo そ、そっちですか～！なるほどォ！
1635856884308783104,"@derAnfang2021 レイさんありがとうございます！！
良い置き方して貰ってますね…！ありがたや～～！"
1635856402278412288,"@nyamadampersand @sugoi_kaizen ところどころ共通点があって、少し安心しています…！
資金繰り表はエクセル大活躍って感じですよね

各々の最強の資金繰り表、ロマンがあります！"
1635855975742849024,"@NETKEYCOM @KinoShinjuku 冊数もこんなにたくさん…！！
ありがとうございます！！

#紀伊國屋新宿本店
@KinoShinjuku"
1635854326559313920,"@NETKEYCOM @KinoShinjuku きーちゃんさん、ありがとうございます！
新刊の表示、ありがたや…！！"
1635853757652279296,"RT @NETKEYCOM: すべてExcel関連の書籍...

　この中から目的の一冊を見つけるのは本当に大変で、新宿本店5階の店員さんには感謝しかない🙇🏻‍♂️

#紀伊國屋新宿本店
@KinoShinjuku https://t.co/BIgHz7BJKi"
1635843878787104768,"ちょっと楽になるリボンの操作

・マウスホイールのスクロールでタブ切替
・タブのダブルクリックで表示・非表示の切替

画面共有中にダブルクリックでリボンを非表示にしたら「どうやったの！？」って聞かれました
#Excel https://t.co/2ISmrSh3dT"
1635840152278020096,@sgtkrr 1900/1/1から起算して45000日目と言うと、実は44999日目と返されるTwitterは怖いところ…
1635839806352793600,"RT @Tsutsui0524: #第2回Excel関数天下一武道会

こんなに勝利の似合う関数は他にないかもしれない…！
改めて、VLOOKUPおめでとう〜！
(ちゃんとカラーでお祝いしたかった) https://t.co/CpmCv2q5mC"
1635834524918743040,"@sgtkrr それが、存在しない日付というのがあってですね…笑

https://t.co/LctOJWcFzz"
1635824369489559553,RT @alfistakeshi: 以前「アニメ作品のキャラ推しはない」と呟いたことがあるが訂正！『機動戦士ガンダム』フラウ・ボウと『ハートキャッチプリキュア』キュアマリンは好きwフラウは小学生の時の理想の女性だった。基本明るい女性が好きなんだなぁと。来海えりかはあの屈託のなさ…
1635821616901898246,"Teams「チャットでEnterキー押したら送信されたって文句言う奴らはそもそも、」

Teams「ちがう。ちがうから。」"
1635815755605512192,@alfistakeshi ポーズ、表情、マリンらしくて良いです…！！
1635812786352824320,@alfistakeshi 岡本健志先生のキュアマリンが見られるとは…！！
1635807581523578880,@toshi81350036 なんの指示もしてないのに関数ちゃんと言い出してびっくりしました笑
1635803170013327360,"@toshi81350036 営業もありがとうございます笑

例文はbingさん作の小説であります"
1635788416867782656,@blue201507 blue先生ありがとうございます…！！
1635785605295779840,@Sagittarius8083 今日は漫画を1点アップ予定です…！！
1635785463813517312,@MasazaneKunohe イイ！！
1635785223161143297,@OElwLDyW1tHGhvq 先生なんて呼ばれるようなアカウントではないですよ…本にも色々抜けがありますしね…
1635781078354132994,@VBA07529852 おつかれさまです…！
1635776261942550528,"@matsbox 松浦はこ先生ありがとうございます！
日付とか祝日のあたりを考える時は先生のことが頭をよぎっておりました…笑"
1635771597553537030,"RT @Tsutsui0524: とうとう本日発売です
インプレス様に頂いたMARUZEN&amp;ジュンク堂書店梅田店の様子
すごい見に行きたい…！！ https://t.co/tAQcLhf4zs"
1635769872104972288,PROPERでできることをUPPERとLEFTと…ってネストでやろうとしたことがある私には刺さりますねえ https://t.co/UZP18SmJrL
1635762173271220224,"RT @Tsutsui0524: NOW関数が2023年3月15日 0:00をお知らせします。
ちなみに本日のシリアル値は「45000」です。

エクセル講師の皆様におかれましては、キリが良いので動揺してしまわぬよう、お気をつけ下さいませ。

#関数ちゃん https://t.…"
1635666097985949696,@okinawa__noodle @IT_craftmanship 天才…！
1635665759232999429,"@okinawa__noodle タナイさんのお役に立てるかどうか…！！
ありがとうございます！"
1635663721149390853,"@ke_ru_noyounamo けーるさん、ありがとうございます！
私もSUMPRODUCT推しで、VLOOKUPを脅かすXLOOKUPには冷ややかだったのですが、付き合ってみると優秀で良い子なので揺らいでいます"
1635660637195083777,@ke_ru_noyounamo 描き直しはしてますよ〜！
1635659931214028800,"@mikimomo_as そうなんですよ…
そのほかにも色々出てきてます…"
1635659617480114176,"@sugoi_kaizen アジアにある協力企業で、社長が急に生産設備の購入を決めてくるので資金繰りが苦しいと相談されたことがあります笑
ドンブリ勘定、多いんですね〜！"
1635659023369502722,"@IT_craftmanship 歯茎が歯の土台なのか、歯が歯茎を纏っているのか、そのあたりは見解が分かれそうですね…
歯科医の友人に聞いてみようと思います"
1635658423911194624,"@na_da513302 na?さん、ありがとうございます
なんだか感慨深いです！"
1635657898306195456,@ShiodaKayak 監査部門の指摘に回答するのはしんどそうですね〜
1635657046535323649,"NOW関数が2023年3月15日 0:00をお知らせします。
ちなみに本日のシリアル値は「45000」です。

エクセル講師の皆様におかれましては、キリが良いので動揺してしまわぬよう、お気をつけ下さいませ。

#関数ちゃん https://t.co/lCebDfSBSF"
1635656715646664704,@sugoi_kaizen 国を救うとは…資金繰りに問題をかかえる組織を多く目にしてらっしゃるとか、そういうことでしょうか？
1635656277652119558,"@IT_craftmanship 結構お見舞いしてますね、歯茎
みんな歯のことばかり気にして、歯茎を蔑ろにし過ぎなんですよ
だから、私が思い出させて差し上げてるんです、歯茎を"
1635655267324153857,"@sugoi_kaizen さすが目のつけどころが…
Excelで資金繰り表作るというテーマでも盛り上がれそうです

https://t.co/u1ebn5QXn8"
1635654751839977473,"@mikimomo_as 私はフィードバックしたいです！
（語らいたい）"
1635653314200346625,"@moripro3 もりさん、ありがとうございます！

イラストはそりゃもう頑張りましたけど、カバーデザインをデザイナーさんがばっちり仕上げてくれたのでお気に入りの表紙になりました！"
1635650354833666050,@itengr_moyashi クセが強いので慎重にご検討ください！笑
1635650190505037826,"@mikimomo_as 私は送ってもらったら出版社の方にも共有したいと思います
で、私個人としてはできるだけご意見に対してフィードバックはしたいと思います
（そこは〇〇な事情があったんです的な…）"
1635649106403299330,"@hakoniwagadget はこにわガジェットさん、ありがとうございます
そうですね、書き切った時は本当に達成感ありました
出版社様のサポートもかなり心強かったですが、それでもなかなか…！"
1635648139884650496,"@Koh_Iwaki そこは弱点ですよね笑
そのうち電子版も出ます
ぜひご検討を笑"
1635634442839511042,"@glayraven れいぶんさん、ありがとうございます！
会社に思想を広めてください笑"
1635634342339682306,"@mikimomo_as そうですか？
読める範囲の文で、私もそこ引っかかってた！というのがあったので、すごく考えて頂けたんだな〜と思いました！

でも確かに、今受け止めるのは危ないかもしれませんね笑"
1635632313403834374,@okinawa__noodle 営業力に驚きました…！
1635632024080850947,"@yamato_1413 やまとさん、ありがとうございます！
楽しんでもらえると良いのですが…！"
1635628811634233345,@_reime reimeさんありがとうございます！
1635627996240556033,@ShiodaKayak うんちうんち！
1635627698142982144,@RelaxTools ありがとうございます！
1635627371050180609,@kotlinhighway ありがとうございます！
1635627196219002880,"@jon_vba_chopper ジョンさん、ありがとうございます！
関数が親しみやすくなってくれると嬉しいです！"
1635626839392804866,"@kazu_shindo カズヒコーキさん、ありがとうございます！
少しずつ読み進めていただければと思います…！"
1635626539890151426,"@yoyoyoshidada 吉田洋さん、ありがとうございます！
最新の関数は結構便利だと思います！"
1635625902322364416,"@excel_pc 信金さんありがとうございます
そわそわします…！！"
1635625627738058756,"@MmRaiel raiel_mmさん、ありがとうございます
楽しんでいただけると幸いです！"
1635625357511639040,@LoverExcel 通常のコーナーはちょっと分かりにくい感じでしたね…！
1635624146309877762,@actiolic 大林 河さん、ありがとうございます！
1635623636160897024,"@KotorinChunChun ちゅんさん、ありがとうございます！
緊張しますね〜！"
1635622761782706176,@mikimomo_as とりあえず著者にぶつけてみるというのは…
1635621959101988865,"RT @glucosamineZ: 3/26発売の新著はExcelで行う「前処理」に特化した本です。
Excelは集計/分析が得意領域ですが、元データが散らばっていたり、不備があったりすると、肝心の集計/分析に入るまでに時間と労力が相当かかるもの。
この解決策がほしい方、Exc…"
1635620637594247168,"@fukarakaru ふさん、ありがとうございます！
ベクターイラストの先生にお買い求め頂けて感無量です！"
1635619312324194304,"@furyutei 風柳先生、ありがとうございます！！
入門なんてとんでもない話ですよ…"
1635618298196029440,"@saboritami 池袋OLさん、ありがとうございます！
隣の本、私も持ってますけど3冊積んだだけで高さが凄いですね笑"
1635614405328240641,"@wakamekiss @keitai_kai リツイートはできないですが、関数ちゃんフォルダに保存完了！！
髪の毛フワフワの可愛いVLOOKUPちゃん確保しました！"
1635614179494334466,"@LoverExcel ありがとうございます！！
一冊減ってるのはKouさんが…！？"
1635613945498152960,"RT @LoverExcel: @Tsutsui0524 さんの著書を無事に購入！
コンピューター関連の書籍を見に来た人全員にアピールしてる。 https://t.co/fRjnbJPg2T"
1635566439020236801,"@my_kirakira しゅんさん、ありがとうございます！
楽しんでいただけると幸いです！！"
1635558515128549378,@Hiro_officewrkr おせっかいと紙一重的な意見も、わかります笑
1635553545578766336,"@Atussy74049877 Atussyさん、ありがとうございます！
関数ちゃん、お役に立てると良いのですが…！！"
1635551701292974081,"@radames1001 ラダメスさん、ありがとうございます！
チェックお願いします…！笑"
1635551180372996096,@actiolic 絶対無かったのに、後から生えてますね、うん！！笑
1635549723468906497,スピルあると、Excelのゲーム感が増す感じがします https://t.co/UTwZefsZRQ
1635548714239676417,@asakotofuji 元気があって良いです！
1635548367450411010,"書店見てきた…あった…
ポップ付いとった…"
1635548009600806915,RT @Marina_fumetti: 私は私の絵柄大好き!!って感じではないんですが（こうなりてぇ〜とか、この人が描いてくれたら私描かなくていいなとも思うし）、へ〜、いい感じに描けてるじゃないと思うときもあるし、自分の絵からしか摂取できない栄養素があるんですよ…。
1635546492013531136,"RT @Kuroi_CPA: ありがとうございます！
あれは自信作です💪"
1635545556385951744,@saitoo_3 はぐき
1635545044018139136,"@yosatonet ありがとうございます！！
レビューは宝ですね…！"
1635487411273887745,@nixuko チャンスがあればサイン…ぜひ！
1635486463944175616,@ksgiksg スピスピ！！
1635485682633437184,"書籍をご購入いただいた皆様へ

現時点で2点、誤記が判明しています
お詫びと訂正をご確認いただきますようお願い申し上げます

あと6章扉イラストの虫眼鏡が欠けてしまいました
申し訳ございません

関数ちゃんと学ぶエクセル仕事術 https://t.co/EuCkBVDzQW… https://t.co/KPq4jL9ZFR https://t.co/XSR0TV2Gvx"
1635483886296903680,"@yosatonet 佐藤先生っ…！！
もう、なんと言えば良いのか…ありがとうございます"
1635481828042899457,"RT @Kuroi_CPA: おめでとうございます🎉
本屋の一部をジャックするのいいですね！
憧れます😍"
1635468899344064512,@toshi81350036 としじさん、あざます！
1635468205157396480,@AquiloPhi なるほど笑
1635463255622660102,"@rochcpa ろっち先生ありがとうございます！
関数ちゃんは初登場時にイラストが入るのですが、そのページを展開されている感じです！"
1635462780076818433,@keiriyume0314 おめでとうございます！
1635458783844663296,"RT @impress_corp: #エクセル のこと、これならわかる！

『関数ちゃんと学ぶエクセル仕事術 実務で役立つExcel関数を擬人化したら？』
3月14日発売です。

#擬人化 
https://t.co/DWnhfVbIDL"
1635458145521897472,"RT @toshi81350036: #Excelクイズ #VBAチャレンジ #PowerShellとかでもいいよ 
長文が与えられます。1行で１ツイート制限のかかる長さにはならないもので構成されています。
１ツイートに収まる範囲内でできるだけ多くの文字数になるようにうまく分割…"
1635447259365261313,"@keiri_IS この記事です！

https://t.co/sWAV2kKQOW"
1635446863045472256,"@keiri_IS 経理部ISさん、ありがとうございます！
会計人コースのExcel記事、要点が絞ってあって、勉強になりましたし面白かったです！"
1635444205857439744,"@ponzu_works ぽんず先生、いつもツイート拝見しております！
ありがとうございます！！"
1635444017621250050,"@s5ml うんうん、え？
って感じですよね笑"
1635443667296202752,"@johnchung1975 ありがとうございます！
いやいや、注文して置いてくださるだけで奇跡ですからっ！"
1635422303805919232,@toshi81350036 このひと35億の人じゃないんですか？？
1635371994693906432,"@B_g_saiton 長野のやつですね！
美味しそうです…！！"
1635364662727544833,"@mikimomo_as サイン会だなんてとんでもない…！
SIGN関数もいつか擬人化したいです！"
1635363327424741378,"@mikimomo_as ご意見伺いたいです…！！
関数ちゃんの活動はまだまだ続いていきますからね、試行錯誤しながら進んでゆきたいです！"
1635339008707551233,"とうとう本日発売です
インプレス様に頂いたMARUZEN&amp;ジュンク堂書店梅田店の様子
すごい見に行きたい…！！ https://t.co/tAQcLhf4zs https://t.co/nzcPpmU4we"
1635335144004546560,"@celaeno4 ありがとうございます！
シノさんメガネですしね！笑"
1635333855333974018,"@hosaCapsaicin 激戦区の表計算カテゴリーではありませんが、ちょっとはずれたところで1位を頂きました
ありがたいです！！"
1635331540921245699,"RT @matsbox: 🗓暦の擬人化　ホワイトデー編

#暦の擬人化 #拝啓暦の上から https://t.co/kW1OauxYBx"
1635270733759918081,"@apis_r わ！あぴ先生ありがとうございます！
私も知らないところは勉強しつつ原稿書いてました笑"
1635268805948772354,@actiolic わー！ありがとうございます！！
1635259227756466176,"RT @fs_jobchange: あるある、、、っ共感しながら
最後にこんな大きなセル結合があったよで吹いた笑笑"
1635259114296320002,@Kuroi_CPA この本、一番知りたいことが載っていそうな予感です！！
1635257387719495682,@Hiro_officewrkr おお〜っ！さすが都会！！
1635246651354013697,@kyuruz69545945 ただものじゃない
1635245703109963777,"RT @seisho_h: 共感しかなくてワロタ
特に最後のやつ、対応をよくやる…(ファイルサーバー管理者)"
1635217636924747778,ネット上にchatGPTの情報が溢れて、それを元に学習したchatGPTが「私はこうなんだ」と決めつけて自分の可能性に蓋をしてしまうまでいけばシンギュラリティ
1635192137473228800,@yosatonet SAM関数…
1635191693615198208,"RT @Tsutsui0524: Excelの機能にセル結合ってあるやろ？
あれ、ほんまはセル分割解除なんや

昼夜問わずセル分割してくれてる人たちのおかげで、私たちはExcelを便利に使えるんやで～

#うそやでー https://t.co/9WtrHI0D8R"
1635190460296888320,@Monyons @mikahosi 地味に使う言葉との重複は怖いですよね
1635181994618535936,"社員A「「とせき」の変換候補に「戸籍」が出ないからユーザー辞書登録した」

社員B「おおっ、効率化～」"
1635181420070174720,"@mikimomo_as ありがとうございます…！！
すっごい緊張します！！"
1635176381763162114,@Koh_Iwaki Excelの動画でxlsがめちゃくちゃ非難されてて、すごく辛い気持ちになったのを思い出しました笑
1635175148373544965,"RT @DemodoriGatsuo: 届きました！
さっと目を通して予想以上に実務に役立ちそうなガチ本です！

ホントに筒井さん凄い…尊敬します！

「関数ちゃんと学ぶエクセル仕事術」
@Tsutsui0524 https://t.co/t3HWk227HC"
1635169339530969090,"@turuya13 以前も挙げてもらっていました
ありがたや〜！"
1635160653207056384,RT @mahusukaya: ノーモアセル結合(#･∀･)
1635153134027960320,"RT @masashikaikei: 最近Excel力が半端ない先輩の調書を見たんですが、発想力がやばいです

やっていることは簡単ですが、そんな組み合わせ方があるのかといつも驚かされます

Excelは難しい関数やコードの暗記よりも、「基礎」をうまく組み合わせる「発想力」の方…"
1635152436653625346,RT @pc_watch: 【本日のできるネット】「関数ちゃんと学ぶエクセル仕事術」まえがき～第1章を先行無料公開。17日まで https://t.co/CqyJ21ug0o https://t.co/MnVOv2MrVX
1635151721537351692,@alice_book @impress_corp 目次読んで下さり、ありがとうございます！
1635149845857185792,@wachi_yukkuri つまり、ここを掘って説明すればわちょんさんが公式
1635147263831068672,@KK80979809 わらいましたｗ
1635128160185622528,@MasazaneKunohe 私もさっきTLに出てきて笑いましたｗ
1635124657522372608,@kotlinhighway 楽天早いですね…！！緊張します…！！
1635121032460914689,"RT @matudakta: 【マチルダさんにExcelを教えてもらう約束をしたアムロの巻】

「マチルダさんは総務課なのに、どうしてExcelの使い方を教えてくれてるんですか？」 https://t.co/PoONvlBnHx"
1635120572509335552,"@DemodoriGatsuo 出戻りガツオさん、ありがとうございます！！
私はガツオさんのアグレッシブなところを尊敬しています
楽しんで頂けると幸いです！！"
1635116182654316546,"RT @66enihcam99: 「私が開いてるから開けない…？」が好き。
嫌いだけど好き。"
1635114834693083136,"『Ctrl + .(ピリオド)』で選択範囲の四隅を移動
『Shift + 方向キー』で選択範囲を修正

四隅の移動は、選択範囲が端まで選択できているか確認するのに使ってましたが、アクティブセルが四隅を移動するので選択範囲の修正にも使えますね https://t.co/A0m2mTVJpM"
1635114356827635715,@toshi81350036 こうでしょうか？ https://t.co/pIkUONGijN
1635112887298711553,"@toarutoa こちらこそ、フォロー頂きありがとうございます！
とあるんさんの他のツイートを拝見してめちゃくちゃ笑ったので、心の栄養補給のためフォローさせて頂きました！
フリー素材っぽい人物のかけあいネタ最高です…！笑

もしExcel学習の際に関数擬人化を思い出して頂けたら幸いです！！"
1635111317576220672,"RT @Tsutsui0524: #関数ちゃん の本にベストセラーのリボン（？）が付きました！
ありがとうございます！ https://t.co/cq8p5en6Ok"
1635105502437974017,"@toshi81350036 これ凄いですね…便利そうなので使ってみたいのですが、
若干文章が消えるのは改行が悪さしているっぽいです…？？ https://t.co/xar0HCw4Hy"
1635099982549381127,@pippi_vba @shimochan_dayo @kadukijob @yosatonet みんなで作った本だと思っています！！
1635083966238838784,@apis_r 本が続々と届いたりしているみたいで、そわそわしています…！！
1635075530512044032,"@IT_craftmanship &gt;強烈な我の強さ

この回答見るとそこまで我が強く感じないのですが…！？"
1635074920404361217,"RT @Excel_design_Dr: 総務省のわかってる人「やばい！日本人みんなExcelデータがめちゃくちゃだから効率悪すぎ！てか省庁の統計データもヤバすぎ！ルール作ったから、これ見てこの通りやれ！！」

っていう神資料がこちら👇

全国民に配るべき！総務省が示した「デー…"
1635069834097729536,"@yosatonet あ、なるほど…
ネストというわけではなく、ミッションに協力して取り組むみたいな感じですね！
これは相当知見がないと量を用意できそうにないですね…"
1635063644248748032,"@yosatonet このあたり、神髄先生のサイトで勉強しました
これ、本当納得いかないですよ…笑"
1635062718544908288,"@yosatonet いえ、佐藤先生のご指摘もっともだと思います
言ってみれば配列数式も特別なものではないわけですし…
なんなら参照だけでもスピルってできましたよね
表現は難しいですが、納得できる表現にはしたかったという思いです"
1635056719394127872,"@yosatonet なるほど、たしかに仰る通りですね
SUMもスピル対応版だとSUMPRODUCT的に使えますしね
スピル登場後に実装された関数をスピル対応関数というイメージが付いてしまっていました

編集さんと情報共有させてもらいます
佐藤先生、教えて下さってありがとうございます！！"
1635055972535398400,"@yosatonet LEFTにFINDの結果を渡すみたいな下りをストーリーっぽく作ればネストの解説本みたいなのもできそうですよね

ただ、ネストしようとするとMIDとかいなくて困る子が結構いるので、今後は着実にキャラクター増やすのも大事だなと考えています！"
1635051547045556225,"@yosatonet 先生、ここ質問なのですが
XLOOKUPはスピル対応ではないですか？？"
1635051024032608257,"RT @Tsutsui0524: あと２日…！！
早い書店で並んでいる可能性があるらしい…

#関数ちゃん https://t.co/aNymBHS8dY"
1635050754586349568,@saitoo_3 投げやすそうではある！
1635050206533386241,"@ShiodaKayak わー、ありがとうございます！
この見切れてる感じも、なんかISERRORちゃんのイメージ通り…凄いです
お宝フォルダに収納！"
1635049749668859905,RT @ShiodaKayak: あと2日ですね〜📗　#ISEROR #関数ちゃんファンアート #関数ちゃんと学ぶエクセル仕事術 https://t.co/EV11uTlMCo
1635049582995574784,"@toarutoa そんな大したものでは無いです…！！
Excel関数はSUMIFと言ったアルファベットの列と機能しかないですから、ここから擬人化という発想はあまり出ないのかなと思います

擬人化文化、面白いですよね！"
